"x","y"
3888966.67910154,940482.342485418
3896507.71455238,940654.413928827
3929839.31655599,940949.416640287
3956841.96894342,940482.14824927
3778614.95369242,939765.048589602
3932422.73805615,939300.125192314
3788897.61294117,940296.609398183
3833593.02196045,938754.395585674
3789990.15736508,936749.14750054
3828136.31294698,936284.332947056
3881253.83487414,937303.069511999
3743956.70630957,936989.838746274
3815625.37525734,936071.531425015
3825649.16222562,935381.032185778
3886123.96398052,936438.690058003
3836046.53945863,934859.334525337
3935718.96721209,934560.230966975
3950431.26920361,935049.894822911
3777274.42945422,933536.145945481
3834386.64114202,934873.800718384
3852336.28663863,933849.23267217
3879093.52997284,934282.846519878
3887138.27922654,934225.890870032
3747399.37514463,933328.548916414
3856168.8422745,933456.764310627
3902620.39636753,932241.408428538
3980248.23269331,932470.569202518
3907672.59428054,930974.067089405
3779999.49982345,929537.689413229
3888186.7704959,930079.750864449
3930411.1588115,929281.979769747
3888276.59849989,928879.402273418
3756916.06593238,927490.169305785
3810774.78772383,927290.122732112
3835129.87665379,928608.293000596
3875415.59573527,928460.577843505
3797250.4464792,926328.687204136
3902981.61930991,927449.14104885
3931028.314533,927549.002234925
3739640.71882689,926034.25461411
3834286.77007005,924791.806516052
3934682.89683043,925209.009914237
3800383.88417546,924972.335869156
3895619.8133711,925479.299277502
3905387.50514125,926622.527370766
3918413.98142492,924810.445419055
3941375.91176931,924385.092408973
3833478.27339835,922682.830504777
3834496.27888848,923134.137423725
3730382.42489834,921475.99631804
3866818.7423431,922153.774434043
3963278.58919751,923489.660848616
3828561.72759486,921603.042095937
3918118.90758333,921206.598725617
3792211.34710155,920623.334897879
3778024.73324617,920011.843096679
3853139.46495501,920500.519675048
3901747.60735624,920209.378350093
3767203.32759174,919459.800202915
3856381.66490783,919221.084478242
3904235.80059383,918607.086100116
3941759.67762067,919204.497533866
3822685.37617992,918838.706179939
3878227.84363301,917392.993558177
3886061.48505699,919101.104540279
3794795.19386579,917672.271182229
3802162.30019487,917541.751465291
3832400.34405671,917869.608893279
3940439.46587072,916842.781330251
3877448.66555343,916978.816124126
3821672.21425716,915978.173453566
3883191.48164685,915093.928469955
3950691.68638962,915532.826635829
3734936.40663114,914889.290741269
3876260.73675196,915307.997274197
3866030.57172839,913588.950182807
3887079.86447748,913482.166271721
3897078.43193809,913782.916847265
3950582.13249358,913902.534750755
3805398.57174336,912030.341408474
3854050.46021003,912842.638008435
3883794.13218766,912577.350379433
3896725.36081254,912998.041518426
3825971.23715534,913421.709431126
3941492.33468354,912481.149393856
3949567.6647098,911807.314481359
3814514.22683757,910945.748431882
3875630.20373176,912185.706737654
3883144.18798545,911524.613892931
3931550.55395001,912493.455659524
3770408.99480686,909800.785166294
3902682.190818,909562.272798829
3937648.69978985,911248.23394656
3950574.87211655,910501.902410618
3748311.54839836,909945.622913757
3846139.40319661,909229.171066765
3686240.99805517,908903.667770667
3853190.52953602,908078.183350859
3861119.95786074,908186.341050717
3886841.05050729,908412.916226421
3938473.27496249,908754.578091416
3931436.02572051,908052.444379702
3878293.24492235,906772.264518905
3898069.3895183,906768.505543712
3969408.11766032,906799.705645291
3791155.28678194,905631.498254274
3737944.52498259,905064.301893687
3737571.1080423,904765.32014774
3874722.36128544,905152.649104473
3910598.95412494,904648.746605828
3950074.55857999,903934.448893432
3956849.58189071,904327.248487334
3934132.8633644,904310.036622978
3862386.03575498,902505.68404402
3765808.41132766,902892.679685045
3924443.48276986,902682.637749881
3700296.13094415,901015.630298739
3875121.66270775,901488.843800534
3891499.7249147,902100.84050036
3818802.23040352,901015.23790468
3811327.05087504,900586.030840674
3878841.24118065,898943.3899561
3925461.86428022,899029.648449894
3881437.35457837,898852.817633298
3958159.63488348,899796.570441556
3966055.41497935,898613.132298582
3760650.56035502,897883.08488325
3795267.61772991,897487.857509557
3870085.18349819,898338.425059495
3878986.76019781,896356.108501572
3889995.4604066,895694.703212258
3916456.17423771,897336.148342179
3834601.09466358,896868.298274124
3776811.64582592,894629.534655139
3859130.26984658,896048.564595625
3967463.71307732,895307.814736796
3862181.69098523,894911.998841449
3876956.04486849,894292.953102187
3894527.54838195,894523.65727189
3918385.10577561,893701.817210311
3753053.6475374,892947.047817864
3810049.97423405,893306.348503893
3749134.44084758,892121.554592082
3841427.83203885,892329.032773456
3861791.49332692,892656.100599412
3862886.76651139,892498.101377051
3761616.61514978,891649.912768174
3803430.56602797,890705.6873617
3861480.00311871,891393.855777309
3924861.52090934,890479.447681713
3937125.37693244,890764.961185048
3794983.36915553,889267.719684044
3890636.8116067,889896.15779683
3917045.83473833,890065.692001825
3686018.3202451,888615.270123998
3777172.36493363,888096.93024021
3737563.23906424,887420.764718891
3830617.00387412,887580.75357602
3867299.11173475,888248.860920923
3883542.09850272,888396.412388858
3841910.78590187,885921.795549267
3861415.90451245,884740.554393843
3763837.46340241,885040.650610545
3785323.05974792,884535.843460743
3800348.07335929,884306.960013266
3924634.71337664,884997.545001802
3962755.42629964,884613.874383892
3769009.600488,883538.993318999
3845822.21473046,884072.316067412
3949796.92962371,883771.164323478
3963588.37089561,884748.833144838
3964340.93131431,884010.5688051
3702150.49542121,880980.870816577
3812374.25452313,883133.299506452
3813664.37318744,882330.63653823
3923432.1043286,883493.001402901
3972313.45716685,882305.911157621
3846693.86174364,882788.746192493
3827327.44457037,881228.975420437
3851081.57580202,881040.408841512
3741064.41909805,880154.978854491
3923800.74637259,879779.05233121
3807825.98293234,879375.265659108
3830307.09195766,878228.033690334
3833112.17510304,878222.586901504
3895470.93462255,878735.019239887
3899929.20858085,877091.24634222
3790294.83687402,877286.859361024
3878221.66789313,877441.265403497
3851626.75353555,875667.511587438
3933854.07135337,877245.958585528
3749019.40989761,876226.102839814
3771860.89528251,875027.831402117
3817294.1402542,876363.468569072
3868145.83066849,874787.020286255
3916746.99584173,875549.299468233
3755437.99637041,874613.799912772
3806160.18703769,874972.323160693
3893944.15968063,875303.78352616
3899275.39066989,874818.893746851
3757830.35268359,874463.536552589
3771271.50249752,873297.774791544
3887755.95720221,874153.619179457
3820980.5122556,873954.416281598
3687921.17162495,872464.675375467
3770164.96602744,871755.070493411
3838149.51831551,871855.660084051
